full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Зубков Евгений Иванович,1902,1968,1928,4,машиниста ж.д
Зуян Иван Донатович,1910,1975,1944,6,Латыш
Зырянов Павел Иванович,1907,1992,1927,3,Русский
Иванов Александр Александрович,1908,1988,1927,12,Русский
Иванов Александр Минович,1903,1975,1930,7,Русский
Иванов Александр Федорович,1912,NA,1940,3,Русский
Иванов Василий Владимирович,1917,2003,1940,3,Русский
Иванов Василий Петрович,1908,1957,1931,10,Русский
Иванов Виктор Гаврилович,1901,1960,1919,1,Русский
Иванов Дмитрий Иванович,1912,1976,1932,10,Русский
Иванов Иван Алексеевич,1906,1948,1926,10,Русский
Иванов Иона Иванович,1900,1966,1926,4,Русский
Иванов Михаил Савельевич,1903,1962,1928,1,Русский
Иванов Петр Александрович,1909,NA,1930,11,Русский
Иваньков Федор Петрович,1911,1979,1943,3,Белорус
Ивашутин Петр Иванович,1909,2002,1930,1,Русский
Иващенко Василий Северьянович,1912,1997,1939,3,Украинец
Иващенко Илларион Никифорович,1901,1977,1920,3,Русский
Игидов Николай Миронович,1905,1950,1912,25,Русский
